data,estado,nomeCidade,codigo,casos,mortes
2020-07-17,ES,Divino de São Lourenço,320180,0,0
2020-07-11,AM,Anori,130010,0,11
2020-10-15,GO,Alexânia,520030,13,16
2020-11-09,MA,São Vicente Ferrer,211170,0,1
2020-07-08,GO,Nova Aurora,521480,0,1
2020-10-21,CE,Palhano,231000,0,4
2020-11-03,MG,Coração de Jesus,311880,0,1
2020-04-10,BA,Caravelas,290690,0,0
2020-06-04,BA,Guaratinga,291180,1,0
2020-11-04,ES,Montanha,320350,3,17
2020-04-02,MA,Axixá,210110,0,0
2020-10-21,BA,Nazaré,292250,0,10
2020-09-27,BA,Cravolândia,290950,2,0
2020-11-11,MA,Duque Bacelar,210390,0,9
2020-11-29,GO,Rio Verde,521880,20,323
2020-10-06,ES,Sooretama,320501,5,17
2020-05-18,MG,Buritizeiro,310940,0,0
2020-04-28,BA,Filadélfia,291085,0,0
2020-07-12,MG,Santa Rosa da Serra,315970,0,0
2020-06-04,ES,Mantenópolis,320330,0,1
2020-11-15,BA,Lamarão,291910,0,0
2020-08-23,GO,Aparecida do Rio Doce,520145,0,2
2020-09-18,ES,Pinheiros,320410,8,21
2020-06-29,BA,Encruzilhada,291040,0,0
2020-06-21,MG,Pedras de Maria da Cruz,314915,0,0
2020-11-06,GO,Jussara,521220,3,10
2020-11-07,MG,Monte Santo de Minas,314320,0,6
2020-06-25,MG,Mata Verde,314055,0,0
2020-07-13,BA,Canarana,290620,1,0
2020-12-04,MG,Palma,314670,0,4
2020-05-05,GO,Arenópolis,520235,0,0
2020-06-21,BA,São Desidério,292890,0,0
2020-05-26,CE,Mauriti,230810,0,7
2020-10-27,BA,Jeremoabo,291810,0,7
2020-08-14,MG,Dores de Guanhães,312310,0,0
2020-07-03,MA,Paraibano,210770,11,1
2020-12-06,MG,Frutal,312710,6,64
2020-08-26,AP,Pracuúba,160055,0,3
2020-06-16,BA,Elísio Medrado,291030,0,0
2020-05-07,MG,Leopoldina,313840,0,0
2020-08-25,CE,Jijoca de Jericoacoara,230725,8,10
2020-07-10,GO,Heitoraí,520960,0,0
2020-10-05,AM,Silves,130400,1,5
2020-09-10,ES,Nova Venécia,320390,5,30
2020-10-15,MG,Betim,310670,0,214
2020-03-27,MG,Imbé de Minas,313055,0,0
2020-06-28,CE,Tururu,231355,0,14
2020-10-27,GO,Urutaí,522180,1,1
2020-07-22,BA,Piatã,292430,1,0
2020-12-02,BA,Itaju do Colônia,291540,0,4
2020-07-21,CE,Milagres,230830,6,3
2020-07-04,GO,Santa Tereza de Goiás,521960,0,0
2020-04-24,AP,Laranjal do Jari,160027,0,0
2020-04-18,GO,São Luiz do Norte,522015,0,0
2020-04-16,MG,Diogo de Vasconcelos,312170,0,0
2020-10-29,CE,Mombaça,230850,1,37
2020-08-27,CE,Acopiara,230030,15,30
2020-09-15,MA,Pio XII,210870,28,6
2020-10-29,ES,Fundão,320220,4,21
2020-10-20,BA,Ipirá,291400,5,9
2020-04-21,AP,Porto Grande,160053,0,0
2020-11-16,GO,Formoso,520810,0,2
2020-04-05,MG,Chácara,311590,0,0
2020-04-12,GO,Goiatuba,520910,0,0
2020-06-28,BA,Ibirataia,291290,1,2
2020-05-14,BA,Almadina,290090,0,0
2020-07-18,ES,Laranja da Terra,320316,0,1
2020-04-24,AM,Jutaí,130230,0,0
2020-09-01,BA,Maracás,292050,2,6
2020-09-20,MG,Araçuaí,310340,0,0
2020-06-15,MA,São Benedito do Rio Preto,211040,0,3
2020-04-04,ES,Laranja da Terra,320316,0,0
2020-05-22,MG,Entre Rios de Minas,312390,0,0
2020-11-06,MG,Senador Amaral,316557,0,2
2020-05-01,MG,Lamim,313790,0,0
2020-06-14,GO,Anhanguera,520120,0,0
2020-10-17,BA,Almadina,290090,0,6
2020-09-24,MG,Carneirinho,311455,0,2
2020-08-13,BA,América Dourada,290115,0,0
2020-09-08,GO,Palminópolis,521590,0,1
2020-04-30,MG,Itacarambi,313210,0,0
2020-04-09,MG,Igarapé,313010,0,0
2020-07-22,CE,Pacatuba,230970,50,74
2020-06-08,BA,Jussari,291855,0,0
2020-10-14,AL,São Sebastião,270880,0,14
2020-09-20,GO,Itapuranga,521120,5,13
2020-05-28,AM,Canutama,130090,1,0
2020-06-13,BA,Barrocas,290327,0,0
2020-10-25,MG,São Gonçalo do Pará,316180,3,2
2020-08-01,GO,Anápolis,520110,22,85
2020-11-28,CE,Eusébio,230428,1,65
2020-10-09,GO,Morro Agudo de Goiás,521385,0,1
2020-04-15,MG,Nacip Raydan,314420,0,0
2020-08-19,MA,Buriti Bravo,210230,0,0
2020-07-14,MG,Areado,310430,0,0
2020-04-22,BA,Muritiba,292230,0,0
2020-09-24,CE,Tururu,231355,0,16
2020-04-25,BA,Heliópolis,291185,0,0
2020-08-30,MA,Peri Mirim,210840,0,2
2020-09-18,GO,Diorama,520710,0,0
